FIPS_Code,County,State,Adult Obesity Percentage,Infant Mortality Rate,Life Expectancy,Incarceration Rate,Incarceration_Rate_1k,HIV_Prevalence,Motor Vehicle Death Rate,Secondary Educational Attainment,GINI Index (Income Inequality),Population Density,Domestic In-Migrants 2010s,Domestic In-Migrants 2010s (norm),Domestic Net Migrants 2010s,Domestic Net Migrants 2010s (norm)
17051,Fayette County,IL,26.2,NA,78.16668917,584.45,5.84,0.1,NA,83.8,0.4373,30.1,2677,122.405121170553,-586,-26.7946959304984
17053,Ford County,IL,27.2,NA,76.85818512,265.9,2.66,0.1,NA,90.4,0.4239,27.33,1386,101.256575102279,161,11.7621274108708
17055,Franklin County,IL,28.4,6.815365551,74.66382677,474.08,4.74,0.1,NA,88.9,0.4501,95.18,6940,176.092968968055,-31,-0.78658242622618
17057,Fulton County,IL,27.5,NA,76.33775544,222.28,2.22,0.2,NA,88.6,0.4538,40.54,4996,138.750798455856,-278,-7.72072097092232
17059,Gallatin County,IL,27.1,NA,75.18001968,303.03,3.03,0.1,NA,86.9,0.5553,15.68,162,30.6180306180306,-142,-26.8380268380268
17061,Greene County,IL,30.9,NA,76.14559727,171.45,1.71,0,NA,90.6,0.4204,24.18,796,59.2526425487569,-318,-23.6712818222421
17063,Grundy County,IL,31.4,NA,78.91097828,139.19,1.39,0,25.46,93.2,0.3859,121.17,21302,422.449181953396,3405,67.5260287555776
17065,Hamilton County,IL,28.7,NA,77.81255669,781.81,7.82,0,NA,87.1,0.4165,18.81,255,30.7377049180328,-121,-14.5853423336548
17067,Hancock County,IL,28.6,NA,81.08620557,207.38,2.07,NA,NA,93.4,0.4286,22.66,863,46.4878258995906,-114,-6.14091790562379
17069,Hardin County,IL,28.7,NA,72.33140498,433.94,4.34,NA,NA,79.6,0.5011,22.21,0,0,0,0
17071,Henderson County,IL,29.8,NA,79.31758994,213.95,2.14,NA,NA,91.2,0.393,17.98,341,49.305957200694,25,3.61480624638519
17073,Henry County,IL,34.2,NA,79.2270024,503.71,5.04,0,20.44,91.2,0.4151,59.86,10449,210.516772438803,461,9.28780094691246
17075,Iroquois County,IL,31.6,NA,75.68783664,243.74,2.44,0.1,NA,89.5,0.4164,24.89,5652,195.713147962187,161,5.57498528342394
17077,Jackson County,IL,27.3,7.000424268,78.51846042,443.07,4.43,0.1,19.38,91.9,0.5249,99.35,10595,177.539085409789,-3010,-50.4381922683781
17079,Jasper County,IL,28.8,NA,79.00296302,269.91,2.7,NA,NA,89.8,0.4192,19.4,458,47.5943053101943,46,4.7802140704562
17081,Jefferson County,IL,31,7.93166565,76.69586543,427.34,4.27,0.1,NA,87.4,0.4516,66.5,4192,108.78704520683,-501,-13.0015051642705
